Book_Title,Original_Book_Title,Author_Name,Edition_Language,Rating_score,Rating_votes,Review_number,Year_published,Genres,url
Obsidian,Obsidian,Jennifer L. Armentrout,English,4.17,236780,18161,2011,"{'Young Adult': 3439, 'Fantasy (Paranormal) ': 2652, 'Fantasy': 2545, 'Romance': 2507, 'Science Fiction (Aliens) ': 1648, 'Science Fiction': 1170, 'Romance (Paranormal Romance) ': 849, 'Fantasy (Supernatural) ': 494, 'Fantasy (Urban Fantasy) ': 411, 'Fiction': 347}",https://www.goodreads.com/book/show/12578077-obsidian
Onyx,Onyx,Jennifer L. Armentrout,English,4.27,153429,10497,2012,"{'Young Adult': 2271, 'Fantasy (Paranormal) ': 1819, 'Romance': 1670, 'Fantasy': 1595, 'Science Fiction (Aliens) ': 1304, 'Science Fiction': 775, 'Romance (Paranormal Romance) ': 595, 'Fantasy (Supernatural) ': 369, 'Fantasy (Urban Fantasy) ': 277, 'Fiction': 192}",https://www.goodreads.com/book/show/13047090-onyx
The 5th Wave,The 5th Wave,Rick Yancey,English,4.03,400600,29990,2013,"{'Young Adult': 5436, 'Science Fiction': 3327, 'Science Fiction (Dystopia) ': 2972, 'Fiction': 1247, 'Science Fiction (Aliens) ': 1225, 'Fantasy': 1043, 'Apocalyptic (Post Apocalyptic) ': 876, 'Romance': 855, 'Audiobook': 381, 'Science Fiction (Apocalyptic) ': 365}",https://www.goodreads.com/book/show/16101128-the-5th-wave
The Host,The Host,Stephenie Meyer,English,3.84,915026,41673,2008,"{'Young Adult': 4529, 'Science Fiction': 4285, 'Fantasy': 4189, 'Romance': 3110, 'Fiction': 2733, 'Science Fiction (Dystopia) ': 1854, 'Fantasy (Paranormal) ': 1316, 'Science Fiction (Aliens) ': 1113, 'Adult': 473, 'Romance (Paranormal Romance) ': 449}",https://www.goodreads.com/book/show/1656001.The_Host
Opal,Opal,Jennifer L. Armentrout,None,4.27,129006,9463,2012,"{'Young Adult': 1855, 'Fantasy (Paranormal) ': 1535, 'Romance': 1376, 'Fantasy': 1288, 'Science Fiction (Aliens) ': 1101, 'Science Fiction': 656, 'Romance (Paranormal Romance) ': 507, 'Fantasy (Supernatural) ': 291, 'Fantasy (Urban Fantasy) ': 221, 'New Adult': 171}",https://www.goodreads.com/book/show/13362536-opal
Origin,Origin,Jennifer L. Armentrout,English,4.35,93979,7660,2013,"{'Young Adult': 1467, 'Fantasy (Paranormal) ': 1219, 'Romance': 1106, 'Fantasy': 1034, 'Science Fiction (Aliens) ': 941, 'Science Fiction': 553, 'Romance (Paranormal Romance) ': 406, 'Fantasy (Supernatural) ': 222, 'Fantasy (Urban Fantasy) ': 154, 'New Adult': 139}",https://www.goodreads.com/book/show/13644052-origin
Opposition,Opposition,Jennifer L. Armentrout,English,4.37,67740,6862,2014,"{'Young Adult': 1186, 'Fantasy (Paranormal) ': 970, 'Romance': 897, 'Fantasy': 861, 'Science Fiction (Aliens) ': 751, 'Science Fiction': 441, 'Romance (Paranormal Romance) ': 299, 'Fantasy (Supernatural) ': 162, 'Fantasy (Urban Fantasy) ': 128, 'New Adult': 120}",https://www.goodreads.com/book/show/13644055-opposition
I Am Number Four,I Am Number Four,Pittacus Lore,English,3.94,319092,15919,2010,"{'Young Adult': 3598, 'Fantasy': 2417, 'Science Fiction': 2033, 'Fiction': 936, 'Science Fiction (Aliens) ': 750, 'Romance': 479, 'Fantasy (Paranormal) ': 447, 'Adventure': 420, 'Young Adult (Teen) ': 263, 'Action': 241}",https://www.goodreads.com/book/show/7747374-i-am-number-four
The Infinite Sea,The Infinite Sea,Rick Yancey,English,3.87,123001,12116,2014,"{'Young Adult': 2197, 'Science Fiction': 1469, 'Science Fiction (Dystopia) ': 1259, 'Science Fiction (Aliens) ': 590, 'Fiction': 466, 'Fantasy': 371, 'Apocalyptic (Post Apocalyptic) ': 366, 'Romance': 339, 'Audiobook': 200, 'Science Fiction (Apocalyptic) ': 162}",https://www.goodreads.com/book/show/16131484-the-infinite-sea
Shadows,Shadows,Jennifer L. Armentrout,English,4.12,36224,2955,2012,"{'Young Adult': 766, 'Fantasy (Paranormal) ': 576, 'Science Fiction (Aliens) ': 495, 'Romance': 446, 'Fantasy': 384, 'Science Fiction': 272, 'Romance (Paranormal Romance) ': 207, 'Novella': 172, 'Fantasy (Supernatural) ': 106, 'Short Stories': 76}",https://www.goodreads.com/book/show/13183957-shadows
